ENST00000000233	P84085	ARF5_HUMAN
ENST00000375120	Q5T2D3	OTUD3_HUMAN
ENST00000375121	Q9NXI6	RN186_HUMAN
ENST00000375123	O00358	FOXE1_HUMAN
ENST00000375128	P23025	XPA_HUMAN
ENST00000375135	P98174	FGD1_HUMAN
ENST00000375147	Q09161	NCBP1_HUMAN
ENST00000375151	Q969E8	TSR2_HUMAN
ENST00000375155	Q6ZP29	LAAT1_HUMAN
ENST00000375156	Q9UIM3	FKBPL_HUMAN
ENST00000375169	Q9BYP7	WNK3_HUMAN
ENST00000375180	Q9NX05	F120C_HUMAN
ENST00000375190	P21731	TA2R_HUMAN
ENST00000375200	Q9BYN7	ZN341_HUMAN
ENST00000375201	Q99941	ATF6B_HUMAN
ENST00000375213	Q9NYL2	M3K20_HUMAN
ENST00000375215	Q71RC9	SMIM5_HUMAN
ENST00000375222	Q9BQM9	CT144_HUMAN
ENST00000375231	Q9Y2H8	ZN510_HUMAN
ENST00000375234	Q7RTV5	PXL2C_HUMAN
ENST00000375249	Q5JVS0	HABP4_HUMAN
ENST00000375250	Q8IWW6	RHG12_HUMAN
ENST00000375254	Q5T4S7	UBR4_HUMAN
ENST00000375255	Q5H9S7	DCA17_HUMAN
ENST00000375256	Q7RTV3	ZN367_HUMAN
ENST00000375263	P37058	DHB3_HUMAN
ENST00000375281	Q6BEB4	SP5_HUMAN
ENST00000375299	Q9H1J1	REN3A_HUMAN
ENST00000375300	Q9Y2K2	SIK3_HUMAN
ENST00000375315	Q8N6M6	AMPO_HUMAN
ENST00000375327	Q8N443	RIBC1_HUMAN
ENST00000375333	P49842	STK19_HUMAN
ENST00000375337	O00757	F16P2_HUMAN
ENST00000375341	P30038	AL4A1_HUMAN
ENST00000375344	Q5SR56	MF14B_HUMAN
ENST00000375349	O77932	DXO_HUMAN
ENST00000375352	Q6UXZ3	CLM5_HUMAN
ENST00000375353	Q8WV15	T255B_HUMAN
ENST00000375360	A2A3K4	PTPC1_HUMAN
ENST00000375363	Q9NQR9	G6PC2_HUMAN
ENST00000375366	A6NE02	BTBDH_HUMAN
ENST00000375370	Q14186	TFDP1_HUMAN
ENST00000375371	Q8TE23	TS1R2_HUMAN
ENST00000375377	Q9P266	JCAD_HUMAN
ENST00000375394	Q15477	SKIV2_HUMAN
ENST00000375400	O95425	SVIL_HUMAN
ENST00000375401	P41229	KDM5C_HUMAN
ENST00000375406	Q9H568	ACTL8_HUMAN
ENST00000375412	Q5T036	F120S_HUMAN
ENST00000375413	Q9NP55	BPIA1_HUMAN
ENST00000375418	Q8NDY3	ARHL1_HUMAN
ENST00000375429	P18615	NELFE_HUMAN
ENST00000375431	Q5TC63	GRTP1_HUMAN
ENST00000375436	Q9P258	RCC2_HUMAN
ENST00000375437	Q99250	SCN2A_HUMAN
ENST00000375440	Q13619	CUL4A_HUMAN
ENST00000375442	Q9H2G4	TSYL2_HUMAN
ENST00000375446	Q92982	NINJ1_HUMAN
ENST00000375448	Q9UM07	PADI4_HUMAN
ENST00000375454	Q9BQP9	BPIA3_HUMAN
ENST00000375460	Q9ULW8	PADI3_HUMAN
ENST00000375464	Q96LW7	CAR19_HUMAN
ENST00000375469	Q96L08	SUSD3_HUMAN
ENST00000375471	Q9ULC6	PADI1_HUMAN
ENST00000375478	Q6UWF7	NXPE4_HUMAN
ENST00000375482	Q5JSP0	FGD3_HUMAN
ENST00000375486	Q9Y2J8	PADI2_HUMAN
ENST00000375494	P59826	BPIB3_HUMAN
ENST00000375495	Q5JVG2	ZN484_HUMAN
ENST00000375499	P21912	SDHB_HUMAN
ENST00000375511	Q5MJ07	SPXN5_HUMAN
ENST00000375527	Q9Y330	ZBT12_HUMAN
ENST00000375533	Q13145	BAMBI_HUMAN
ENST00000375535	P55001	MFAP2_HUMAN
ENST00000375544	Q9BXN1	ASPN_HUMAN
ENST00000375549	O14521	DHSD_HUMAN
ENST00000375550	Q99983	OMD_HUMAN
ENST00000375559	P00742	FA10_HUMAN
ENST00000375561	P20774	MIME_HUMAN
ENST00000375571	Q15691	MARE1_HUMAN
ENST00000375581	P08709	FA7_HUMAN
ENST00000375587	Q6IPU0	CENPP_HUMAN
ENST00000375592	Q6P3S6	FBX42_HUMAN
ENST00000375599	Q9BU20	CPLN2_HUMAN
ENST00000375602	Q9HD64	XAGE1_HUMAN
ENST00000375615	Q6UX15	LAYN_HUMAN
ENST00000375618	Q6PI97	HOATZ_HUMAN
ENST00000375626	Q96JG8	MAGD4_HUMAN
ENST00000375631	Q99519	NEUR1_HUMAN
ENST00000375643	P41252	SYIC_HUMAN
ENST00000375650	P0DMV9	HS71B_HUMAN
ENST00000375651	P0DMV8	HS71A_HUMAN
ENST00000375654	P34931	HS71L_HUMAN
ENST00000375661	Q9Y333	LSM2_HUMAN
ENST00000375662	Q96AQ9	F131C_HUMAN
ENST00000375663	P26640	SYVC_HUMAN
ENST00000375679	P51801	CLCKB_HUMAN
ENST00000375687	Q8IXJ9	ASXL1_HUMAN
ENST00000375688	Q9Y334	VWA7_HUMAN
ENST00000375695	Q9Y5V3	MAGD1_HUMAN
ENST00000375703	O43196	MSH5_HUMAN
ENST00000375708	Q01974	ROR2_HUMAN
ENST00000375712	O15066	KIF3B_HUMAN
ENST00000375731	Q13825	AUHM_HUMAN
ENST00000375732	Q5T2T1	MPP7_HUMAN
ENST00000375735	Q8NCM8	DYHC2_HUMAN
ENST00000375743	Q13105	ZBT17_HUMAN
ENST00000375749	Q9H488	OFUT1_HUMAN
ENST00000375754	P43405	KSYK_HUMAN
ENST00000375759	Q96T58	MINT_HUMAN
ENST00000375765	Q96HU8	DIRA2_HUMAN
ENST00000375771	Q8WUP2	FBLI1_HUMAN
ENST00000375782	A0PJX8	TMM82_HUMAN
ENST00000375790	Q8IYA7	MKX_HUMAN
ENST00000375792	O95865	DDAH2_HUMAN
ENST00000375799	Q8IWE5	PKHM2_HUMAN
ENST00000375807	Q96T21	SEBP2_HUMAN
ENST00000375819	O95867	LY66C_HUMAN
ENST00000375820	P02462	CO4A1_HUMAN
ENST00000375825	O95868	LY66D_HUMAN
ENST00000375826	Q9BSE5	SPEB_HUMAN
ENST00000375832	Q5SQ64	LY66F_HUMAN
ENST00000375835	Q92529	SHC3_HUMAN
ENST00000375844	Q56UN5	M3K19_HUMAN
ENST00000375847	Q9Y2G8	DJC16_HUMAN
ENST00000375854	Q5VZ03	NXNL2_HUMAN
ENST00000375856	Q9Y4H2	IRS2_HUMAN
ENST00000375859	Q9Y657	SPIN1_HUMAN
ENST00000375864	Q8NDX9	LY65B_HUMAN
ENST00000375880	Q5SRQ3	Q5SRQ3_HUMAN
ENST00000375882	P67870	CSK2B_HUMAN
ENST00000375887	Q9Y275	TN13B_HUMAN
ENST00000375898	Q7L211	ABHDD_HUMAN
ENST00000375906	O95872	GPAN1_HUMAN
ENST00000375910	P08218	CEL2B_HUMAN
ENST00000375911	O95873	CF047_HUMAN
ENST00000375915	B1AL88	NALF1_HUMAN
ENST00000375916	O95445	APOM_HUMAN
ENST00000375936	P59103	DAOA_HUMAN
ENST00000375938	Q3SXZ7	TTLL9_HUMAN
ENST00000375940	Q96GX5	GWL_HUMAN
ENST00000375949	Q99895	CTRC_HUMAN
ENST00000375963	Q5VYS8	TUT7_HUMAN
ENST00000375978	O43638	FOXS1_HUMAN
ENST00000375980	Q96C19	EFHD2_HUMAN
ENST00000375991	Q9BUE6	ISCA1_HUMAN
ENST00000375992	Q96G61	NUD11_HUMAN
ENST00000375994	Q9H1R3	MYLK2_HUMAN
ENST00000376004	Q6UW63	PLGT2_HUMAN
ENST00000376006	Q8NFP7	NUD10_HUMAN
ENST00000376016	Q96TA2	YMEL1_HUMAN
ENST00000376032	Q5JUR7	TEX30_HUMAN
ENST00000376033	P48634	PRC2A_HUMAN
ENST00000376042	Q8WWL7	CCNB3_HUMAN
ENST00000376059	P55008	AIF1_HUMAN
ENST00000376064	Q5JQC9	AKAP4_HUMAN
ENST00000376065	P29144	TPP2_HUMAN
ENST00000376075	Q96KJ9	COX42_HUMAN
ENST00000376085	Q5VT99	LRC38_HUMAN
ENST00000376087	Q9UPS8	ANR26_HUMAN
ENST00000376098	Q5VTA0	PRA17_HUMAN
ENST00000376101	Q5SWL8	PRA19_HUMAN
ENST00000376104	Q15700	DLG2_HUMAN
ENST00000376112	P41134	ID1_HUMAN
ENST00000376143	Q92915	FGF14_HUMAN
ENST00000376148	Q9UBC1	IKBL1_HUMAN
ENST00000376150	O75459	PAGE1_HUMAN
ENST00000376151	O95670	VATG2_HUMAN
ENST00000376152	P0DUQ1	PRA15_HUMAN
ENST00000376166	Q8IZP0	ABI1_HUMAN
ENST00000376180	O95965	ITGBL_HUMAN
ENST00000376185	F2Z307	F2Z307_HUMAN
ENST00000376189	Q5VXH4	PRAM6_HUMAN
ENST00000376191	P59942	MCCD1_HUMAN
ENST00000376207	Q9BZS1	FOXP3_HUMAN
ENST00000376215	Q5T2R2	DPS1_HUMAN
ENST00000376217	Q6W3E5	GDPD4_HUMAN
ENST00000376221	Q5VUY2	ADCL4_HUMAN
ENST00000376227	O60826	CCD22_HUMAN
ENST00000376228	P10321	HLAC_HUMAN
ENST00000376233	Q6P9A3	ZN549_HUMAN
ENST00000376234	Q5T4D3	TMTC4_HUMAN
ENST00000376236	Q7Z5R6	AB1IP_HUMAN
ENST00000376238	Q9HAS3	S28A3_HUMAN
ENST00000376250	Q9BVM4	GGACT_HUMAN
ENST00000376259	P20333	TNR1B_HUMAN
ENST00000376265	O60840	CAC1F_HUMAN
ENST00000376285	P05165	PCCA_HUMAN
ENST00000376288	G8JLG2	G8JLG2_HUMAN
ENST00000376296	Q5SSG8	MUC21_HUMAN
ENST00000376300	Q567U6	CCD93_HUMAN
ENST00000376309	Q8N688	DB123_HUMAN
ENST00000376314	Q5J5C9	DB121_HUMAN
ENST00000376321	Q8N690	DB119_HUMAN
ENST00000376325	A6NL88	SHSA7_HUMAN
ENST00000376327	Q04941	PLP2_HUMAN
ENST00000376332	Q6WN34	CRDL2_HUMAN
ENST00000376335	O95409	ZIC2_HUMAN
ENST00000376344	Q5T6V5	QSPP_HUMAN
ENST00000376350	Q9HD43	PTPRH_HUMAN
ENST00000376351	Q5T848	GP158_HUMAN
ENST00000376352	Q6ZWJ1	STXB4_HUMAN
ENST00000376355	Q8N0X4	CLYBL_HUMAN
ENST00000376356	Q8IYQ7	THNS1_HUMAN
ENST00000376358	A6NM71	A6NM71_HUMAN
ENST00000376371	Q5VSY0	GKAP1_HUMAN
ENST00000376389	O75955	FLOT1_HUMAN
ENST00000376395	Q9UMX0	UBQL1_HUMAN
ENST00000376406	Q14676	MDC1_HUMAN
ENST00000376414	P32249	GP183_HUMAN
ENST00000376419	Q5T6J7	GNTK_HUMAN
ENST00000376423	Q4V328	GRAP1_HUMAN
ENST00000376438	A2A2Y4	FRMD3_HUMAN
ENST00000376442	O60231	DHX16_HUMAN
ENST00000376447	Q8IZ41	RASEF_HUMAN
ENST00000376454	Q5T5P2	SKT_HUMAN
ENST00000376468	P16860	ANFB_HUMAN
ENST00000376473	Q5SQH8	CF136_HUMAN
ENST00000376480	P01160	ANF_HUMAN
ENST00000376495	Q5VV17	OTUD1_HUMAN
ENST00000376499	Q04724	TLE1_HUMAN
ENST00000376503	P46059	S15A1_HUMAN
ENST00000376504	Q7RTS3	PTF1A_HUMAN
ENST00000376509	Q9P1W9	PIM2_HUMAN
ENST00000376510	Q9Y3D2	MSRB2_HUMAN
ENST00000376511	Q96QC0	PP1RA_HUMAN
ENST00000376530	Q9H313	TTYH1_HUMAN
ENST00000376552	Q04727	TLE4_HUMAN
ENST00000376560	P79522	PRR3_HUMAN
ENST00000376572	Q8IYS2	K2013_HUMAN
ENST00000376573	P48426	PI42A_HUMAN
ENST00000376582	O60830	TI17B_HUMAN
ENST00000376588	Q9Y617	SERC_HUMAN
ENST00000376590	P42898	MTHR_HUMAN
ENST00000376608	A6NCL2	LRCL1_HUMAN
ENST00000376619	Q9UBN7	HDAC6_HUMAN
ENST00000376621	P36915	GNL1_HUMAN
ENST00000376624	O75602	SPAG6_HUMAN
ENST00000376630	P13747	HLAE_HUMAN
ENST00000376650	A6NFQ7	DPRX_HUMAN
ENST00000376663	P35226	BMI1_HUMAN
ENST00000376670	P15976	GATA1_HUMAN
ENST00000376687	O43463	SUV91_HUMAN
ENST00000376693	Q8WV74	NUDT8_HUMAN
ENST00000376694	Q9C019	TRI15_HUMAN
ENST00000376701	P42768	WASP_HUMAN
ENST00000376705	Q8IZP7	H6ST3_HUMAN
ENST00000376708	Q5VYV0	FOXB2_HUMAN
ENST00000376709	Q9NZR4	VSX1_HUMAN
ENST00000376716	Q8N8J6	ZN615_HUMAN
ENST00000376718	Q8WUY3	PRUN2_HUMAN
ENST00000376729	Q9H1Z4	WDR13_HUMAN
ENST00000376734	Q9BZY9	TRI31_HUMAN
ENST00000376736	Q969G6	RIFK_HUMAN
ENST00000376741	Q02086	SP2_HUMAN
ENST00000376745	P62136	PP1A_HUMAN
ENST00000376747	Q9NYU1	UGGG2_HUMAN
ENST00000376753	Q9NRD1	FBX6_HUMAN
ENST00000376759	P98179	RBM3_HUMAN
ENST00000376770	Q9H4M3	FBX44_HUMAN
ENST00000376771	Q3MII6	TBC25_HUMAN
ENST00000376772	O60927	PP1RB_HUMAN
ENST00000376782	Q9P1U0	RPA12_HUMAN
ENST00000376810	Q9Y5Z9	UBIA1_HUMAN
ENST00000376819	O43827	ANGL7_HUMAN
ENST00000376828	Q5RJ85	Q5RJ85_HUMAN
ENST00000376829	Q86YF9	DZIP1_HUMAN
ENST00000376834	Q8N4J0	CARME_HUMAN
ENST00000376836	Q9UBI1	COMD3_HUMAN
ENST00000376840	O95759	TBCD8_HUMAN
ENST00000376854	Q8IXQ3	CI040_HUMAN
ENST00000376862	Q9H7V2	SYNG1_HUMAN
ENST00000376865	Q5H8A3	NMS_HUMAN
ENST00000376873	P78369	CLD10_HUMAN
ENST00000376874	Q5EBL4	RIPL1_HUMAN
ENST00000376883	Q9NU63	ZFP57_HUMAN
ENST00000376896	Q92753	RORB_HUMAN
ENST00000376901	O95070	YIF1A_HUMAN
ENST00000376917	Q16653	MOG_HUMAN
ENST00000376918	Q5UCC4	EMC10_HUMAN
ENST00000376919	Q16384	SSX1_HUMAN
ENST00000376936	Q01780	EXOSX_HUMAN
ENST00000376943	P17025	ZN182_HUMAN
ENST00000376945	Q9Y651	SOX21_HUMAN
ENST00000376957	P19623	SPEE_HUMAN
ENST00000376958	Q86V85	GP180_HUMAN
ENST00000376962	O76080	ZFAN5_HUMAN
ENST00000376971	Q5W186	CST9_HUMAN
ENST00000376974	A6NI87	CBY3_HUMAN
ENST00000376979	Q9H4G1	CST9L_HUMAN
ENST00000376980	Q96KC8	DNJC1_HUMAN
ENST00000376983	P19419	ELK1_HUMAN
ENST00000377004	G8JLG8	G8JLG8_HUMAN
ENST00000377009	Q9H112	CST11_HUMAN
ENST00000377022	Q86V15	CASZ1_HUMAN
ENST00000377024	Q5W0N0	CI057_HUMAN
ENST00000377026	Q9H115	SNAB_HUMAN
ENST00000377028	P40126	TYRP2_HUMAN
ENST00000377032	P01611	KVD12_HUMAN
ENST00000377034	Q9UBS5	GABR1_HUMAN
ENST00000377035	Q6EBC2	IL31_HUMAN
ENST00000377038	O00273	DFFA_HUMAN
ENST00000377041	Q5VST6	AB17B_HUMAN
ENST00000377044	Q9UHN6	CEIP2_HUMAN
ENST00000377045	P10398	ARAF_HUMAN
ENST00000377047	Q9Y625	GPC6_HUMAN
ENST00000377049	O00230	CORT_HUMAN
ENST00000377050	O15205	UBD_HUMAN
ENST00000377065	P51814	ZNF41_HUMAN
ENST00000377067	P78333	GPC5_HUMAN
ENST00000377071	Q8NHM5	KDM2B_HUMAN
ENST00000377073	P51786	ZN157_HUMAN
ENST00000377075	Q6P4Q7	CNNM4_HUMAN
ENST00000377103	P07204	TRBM_HUMAN
ENST00000377104	O43597	SPY2_HUMAN
ENST00000377115	Q9Y261	FOXA2_HUMAN
ENST00000377126	Q13886	KLF9_HUMAN
ENST00000377127	P35410	MAS1L_HUMAN
ENST00000377136	Q9GZK4	OR2H1_HUMAN
ENST00000377139	Q14653	IRF3_HUMAN
ENST00000377142	O95096	NKX22_HUMAN
ENST00000377149	Q9GZK7	O11A1_HUMAN
ENST00000377154	Q9UGF6	OR5V1_HUMAN
ENST00000377173	O76000	OR2B3_HUMAN
ENST00000377175	Q9Y3N9	OR2W1_HUMAN
ENST00000377179	Q5JNZ3	ZN311_HUMAN
ENST00000377182	Q7Z304	MAMC2_HUMAN
ENST00000377185	Q5MJ68	SPDYC_HUMAN
ENST00000377190	Q86TM6	SYVN1_HUMAN
ENST00000377191	Q9H0D6	XRN2_HUMAN
ENST00000377197	Q5VTT2	CFA95_HUMAN
ENST00000377199	P14373	TRI27_HUMAN
ENST00000377205	Q9HAN9	NMNA1_HUMAN
ENST00000377208	Q01851	PO4F1_HUMAN
ENST00000377223	Q8WZA0	LZIC_HUMAN
ENST00000377244	Q9NRS6	SNX15_HUMAN
ENST00000377245	Q9UDY2	ZO2_HUMAN
ENST00000377246	O95171	SCEL_HUMAN
ENST00000377252	Q6UX71	PXDC2_HUMAN
ENST00000377263	Q9NSA3	CNBP1_HUMAN
ENST00000377264	Q2TAZ0	ATG2A_HUMAN
ENST00000377275	Q96KC2	ARL5B_HUMAN
ENST00000377276	P22612	KAPCG_HUMAN
ENST00000377294	Q969J2	ZKSC4_HUMAN
ENST00000377304	Q8TEA1	NSUN6_HUMAN
ENST00000377311	Q8N6L7	TM252_HUMAN
ENST00000377315	Q08289	CACB2_HUMAN
ENST00000377317	O75593	FOXH1_HUMAN
ENST00000377325	P49910	ZN165_HUMAN
ENST00000377340	Q9BZJ0	CRNL1_HUMAN
ENST00000377342	A0A0A0MRU4	A0A0A0MRU4_HUMAN
ENST00000377346	O00329	PK3CD_HUMAN
ENST00000377350	Q12851	M4K2_HUMAN
ENST00000377351	P22314	UBA1_HUMAN
ENST00000377365	A6NMK8	INY2B_HUMAN
ENST00000377369	Q504Y0	S39AC_HUMAN
ENST00000377390	Q15637	SF01_HUMAN
ENST00000377391	Q4V339	ZNG1F_HUMAN
ENST00000377400	Q9BRT8	ZNG1A_HUMAN
ENST00000377401	Q99880	H2B1L_HUMAN
ENST00000377403	O95479	G6PE_HUMAN
ENST00000377411	Q5UAW9	GP157_HUMAN
ENST00000377413	Q8WXT5	FX4L4_HUMAN
ENST00000377420	Q5VV16	FX4L5_HUMAN
ENST00000377424	P22732	GTR5_HUMAN
ENST00000377428	Q9UJQ7	SCP2D_HUMAN
ENST00000377443	P23280	CAH6_HUMAN
ENST00000377452	Q8TEA8	DTD1_HUMAN
ENST00000377459	Q96KK5	H2A1H_HUMAN
ENST00000377462	A6NK06	IRG1_HUMAN
ENST00000377470	Q76KD6	SPERI_HUMAN
ENST00000377474	Q96CX2	KCD12_HUMAN
ENST00000377482	Q9UJM3	ERRFI_HUMAN
ENST00000377495	Q5W0B7	TM236_HUMAN
ENST00000377524	Q92783	STAM1_HUMAN
ENST00000377526	Q9Y679	AUP1_HUMAN
ENST00000377534	F8WD26	F8WD26_HUMAN
ENST00000377540	Q96NG3	ODAD4_HUMAN
ENST00000377560	J3KPF0	J3KPF0_HUMAN
ENST00000377561	Q96NU0	CNT3B_HUMAN
ENST00000377566	Q6XYB7	LBX2_HUMAN
ENST00000377574	Q96S37	S22AC_HUMAN
ENST00000377575	O00479	HMGN4_HUMAN
ENST00000377577	Q9NVH1	DJC11_HUMAN
ENST00000377595	P15374	UCHL3_HUMAN
ENST00000377601	Q5SQ80	A20A2_HUMAN
ENST00000377602	P61647	SIA8F_HUMAN
ENST00000377603	Q9H1D9	RPC6_HUMAN
ENST00000377615	Q7Z4G1	COMD6_HUMAN
ENST00000377647	Q5TZJ5	S31A1_HUMAN
ENST00000377648	Q86YI8	PHF13_HUMAN
ENST00000377658	Q9UJP4	KLH21_HUMAN
ENST00000377669	Q9Y4X4	KLF12_HUMAN
ENST00000377670	Q9Y2N7	HIF3A_HUMAN
ENST00000377673	Q8WUB2	F216A_HUMAN
ENST00000377674	P10074	TZAP_HUMAN
ENST00000377687	Q13887	KLF5_HUMAN
ENST00000377694	Q8WX77	IBPL1_HUMAN
ENST00000377697	Q6B9Z1	IGFL4_HUMAN
ENST00000377698	P30837	AL1B1_HUMAN
ENST00000377705	Q5SY16	NOL9_HUMAN
ENST00000377707	Q15464	SHB_HUMAN
ENST00000377708	P78410	BT3A2_HUMAN
ENST00000377710	Q9BQP7	MGME1_HUMAN
ENST00000377721	Q9BYQ4	KRA92_HUMAN
ENST00000377724	Q5QP82	DCA10_HUMAN
ENST00000377726	Q9BYR5	KRA42_HUMAN
ENST00000377727	P62805	H4_HUMAN
ENST00000377733	P62807	H2B1C_HUMAN
ENST00000377741	Q99678	GPR20_HUMAN
ENST00000377745	P62805	H4_HUMAN
ENST00000377747	P0C5Y4	KRA14_HUMAN
ENST00000377748	A0A7I2PMD6	A0A7I2PMD6_HUMAN
ENST00000377765	Q5SYB0	FRPD1_HUMAN
ENST00000377767	Q9Y2L1	RRP44_HUMAN
ENST00000377768	Q9Y5X3	SNX5_HUMAN
ENST00000377791	Q93077	H2A1C_HUMAN
ENST00000377793	Q86UY6	NAA40_HUMAN
ENST00000377798	Q9GZS1	RPA49_HUMAN
ENST00000377799	O14717	TRDMT_HUMAN
ENST00000377803	P62805	H4_HUMAN
ENST00000377805	Q9H503	BAFL_HUMAN
ENST00000377810	A0A0A0MRU9	A0A0A0MRU9_HUMAN
ENST00000377811	Q9NX14	NDUBB_HUMAN
ENST00000377813	Q9P2E9	RRBP1_HUMAN
ENST00000377818	Q08AG7	MZT1_HUMAN
ENST00000377833	O60494	CUBN_HUMAN
ENST00000377834	Q9Y543	HES2_HUMAN
ENST00000377842	O00154	BACH_HUMAN
ENST00000377844	Q9NR64	KLHL1_HUMAN
ENST00000377850	O00624	NPT3_HUMAN
ENST00000377873	Q12934	BFSP1_HUMAN
ENST00000377881	Q9H7E2	TDRD3_HUMAN
ENST00000377890	P08195	4F2_HUMAN
ENST00000377893	Q6NV75	GP153_HUMAN
ENST00000377898	Q5TGS1	HES3_HUMAN
ENST00000377905	Q9Y2C5	S17A4_HUMAN
ENST00000377906	Q5DT21	ISK9_HUMAN
ENST00000377918	O14917	PCD17_HUMAN
ENST00000377924	A6NJW4	LRR3C_HUMAN
ENST00000377930	P86481	PR20B_HUMAN
ENST00000377931	P86496	PR20A_HUMAN
ENST00000377938	Q9NS71	GKN1_HUMAN
ENST00000377938	Q53YU7	Q53YU7_HUMAN
ENST00000377939	Q6ZRF8	RN207_HUMAN
ENST00000377942	O95206	PCDH8_HUMAN
ENST00000377950	Q6UWN5	LYPD5_HUMAN
ENST00000377957	Q5FWF7	FBX48_HUMAN
ENST00000377960	Q9H4G4	GAPR1_HUMAN
ENST00000377961	O76038	SEGN_HUMAN
ENST00000377962	O75829	CNMD_HUMAN
ENST00000377966	O95980	RECK_HUMAN
ENST00000377976	A6NFK2	GRCR2_HUMAN
ENST00000377981	Q8NGT2	O13J1_HUMAN
ENST00000377990	Q76N32	CEP68_HUMAN
ENST00000377991	A6NDV4	TMM8B_HUMAN
ENST00000378000	Q96BW5	PTER_HUMAN
ENST00000378017	O43312	MTSS1_HUMAN
ENST00000378026	Q07065	CKAP4_HUMAN
ENST00000378037	Q8WWK9	CKAP2_HUMAN
ENST00000378043	O76090	BEST1_HUMAN
ENST00000378045	Q8IVP5	FUND1_HUMAN
ENST00000378060	Q86VN1	VPS36_HUMAN
ENST00000378061	Q6IV72	ZN425_HUMAN
ENST00000378069	P27338	AOFB_HUMAN
ENST00000378075	A6NIK2	LR10B_HUMAN
ENST00000378076	P53708	ITA8_HUMAN
ENST00000378078	Q92546	RGP1_HUMAN
ENST00000378079	Q5MNV8	FBX47_HUMAN
ENST00000378097	Q13303	KCAB2_HUMAN
ENST00000378103	Q9HCG7	GBA2_HUMAN
ENST00000378106	Q5TEU4	NDUF5_HUMAN
ENST00000378115	A5YM69	ARG35_HUMAN
ENST00000378116	Q5VUB5	F1711_HUMAN
ENST00000378119	Q9GZU0	CF062_HUMAN
ENST00000378131	O14990	IPP2C_HUMAN
ENST00000378142	Q9UPC5	GPR34_HUMAN
ENST00000378149	P0DJD7	PEPA4_HUMAN
ENST00000378156	O75161	NPHP4_HUMAN
ENST00000378164	Q6P1X5	TAF2_HUMAN
ENST00000378165	O60551	NMT2_HUMAN
ENST00000378186	Q5J8X5	M4A13_HUMAN
ENST00000378187	A6NGS2	ERIC4_HUMAN
ENST00000378191	Q9UKB5	AJAP1_HUMAN
ENST00000378198	O95551	TYDP2_HUMAN
ENST00000378204	Q16394	EXT1_HUMAN
ENST00000378209	O76075	DFFB_HUMAN
ENST00000378214	Q5VV43	K0319_HUMAN
ENST00000378220	Q9GZU5	NYX_HUMAN
ENST00000378228	Q9NV23	SAST_HUMAN
ENST00000378247	Q8WWL2	SPIR2_HUMAN
ENST00000378251	Q8N1G4	LRC47_HUMAN
ENST00000378278	Q96SD1	DCR1C_HUMAN
ENST00000378279	Q4LEZ3	AARD_HUMAN
ENST00000378295	O15350	P73_HUMAN
ENST00000378302	Q8NDN9	RCBT1_HUMAN
ENST00000378308	Q93008	USP9X_HUMAN
ENST00000378313	Q5BKX5	CS054_HUMAN
ENST00000378319	Q9UIL8	PHF11_HUMAN
ENST00000378339	Q9BRK0	REEP2_HUMAN
ENST00000378344	Q5T0D9	TPRGL_HUMAN
ENST00000378357	Q16790	CAH9_HUMAN
ENST00000378364	P07741	APT_HUMAN
ENST00000378372	Q0VDF9	HSP7E_HUMAN
ENST00000378378	Q5VV41	ARHGG_HUMAN
ENST00000378386	Q9HD23	MRS2_HUMAN
ENST00000378387	Q8N4T4	ARG39_HUMAN
ENST00000378392	Q9NU02	ANKE1_HUMAN
ENST00000378396	Q8NGK9	OR5DG_HUMAN
ENST00000378397	Q8NGL0	OR5L2_HUMAN
ENST00000378402	Q86WI1	PKHL1_HUMAN
ENST00000378404	Q8TDY3	ACTT2_HUMAN
ENST00000378409	Q8WV48	CC107_HUMAN
ENST00000378412	Q495T6	MMEL1_HUMAN
ENST00000378434	P43657	LPAR6_HUMAN
ENST00000378444	Q6W2J9	BCOR_HUMAN
ENST00000378453	Q5TA89	HES5_HUMAN
ENST00000378454	Q9UHG0	DCDC2_HUMAN
ENST00000378466	Q9NVE7	PANK4_HUMAN
ENST00000378478	Q8IZ57	NRSN1_HUMAN
ENST00000378482	P41732	TSN7_HUMAN
ENST00000378486	O75038	PLCH2_HUMAN
ENST00000378494	Q7Z624	CMKMT_HUMAN
ENST00000378495	O14795	UN13B_HUMAN
ENST00000378509	Q969S0	S35B4_HUMAN
ENST00000378526	P49916	DNLI3_HUMAN
ENST00000378531	Q5T089	MORN1_HUMAN
ENST00000378533	P78539	SRPX_HUMAN
ENST00000378536	P12755	SKI_HUMAN
ENST00000378538	P17947	SPI1_HUMAN
ENST00000378546	Q6NZ36	FAP20_HUMAN
ENST00000378553	Q8NEP3	DAAF1_HUMAN
ENST00000378555	O00592	PODXL_HUMAN
ENST00000378567	Q05513	KPCZ_HUMAN
ENST00000378569	P80098	CCL7_HUMAN
ENST00000378572	Q99633	PRP18_HUMAN
ENST00000378578	P51808	DYLT3_HUMAN
ENST00000378585	O14764	GBRD_HUMAN
ENST00000378588	P04839	CY24B_HUMAN
ENST00000378616	P51811	XK_HUMAN
ENST00000378617	Q8TEQ8	PIGO_HUMAN
ENST00000378619	Q6ZV70	LANC3_HUMAN
ENST00000378623	O75096	LRP4_HUMAN
ENST00000378626	P47929	LEG7_HUMAN
ENST00000378643	O15287	FANCG_HUMAN
